Running Time:     ,Nodes Expanded:   ,Cost of Path:     ,Max Fringe Size:  ,Search Depth:     ,Fringe Size:      ,Max Search Depth: ,Search Method:    
0.34662914276123047,4142,14,2326,15,2325,16,BFS
2.4584269523620605,28770,19,13983,20,13982,21,BFS
0.9542250633239746,11374,16,5544,17,5543,18,BFS
0.024672985076904297,197,8,133,9,131,10,BFS
6.549294948577881,76033,21,21826,22,20473,23,BFS
4.242944955825806,49463,20,17289,21,17216,22,BFS
0.07788491249084473,833,10,480,11,478,12,BFS
14.101027011871338,163216,26,24053,27,10739,28,BFS
9.931999921798706,111789,23,25136,24,22401,25,BFS
1.6373050212860107,18611,17,8456,18,8455,19,BFS
0.0846099853515625,1054,11,633,12,632,13,BFS
0.034963130950927734,422,10,288,11,287,12,BFS
1.6278221607208252,18391,18,9723,19,9722,20,BFS
0.9156160354614258,10782,16,5391,17,5390,18,BFS
8.63736891746521,99860,22,24983,23,21542,24,BFS
0.6778769493103027,8034,16,4706,17,4705,18,BFS
0.5248310565948486,6146,15,3593,16,3592,17,BFS
4.973517894744873,55994,20,18858,21,18822,22,BFS
0.017925024032592773,222,8,136,9,135,10,BFS
2.3106439113616943,26722,18,10852,19,10846,20,BFS
10.38309097290039,113402,23,25133,24,21723,25,BFS
13.698378086090088,157274,26,24053,27,13859,28,BFS
5.998353004455566,69166,21,21811,22,21313,23,BFS
12.006164073944092,139625,24,24048,25,15828,26,BFS
0.019750118255615234,243,8,139,9,138,10,BFS
2.174144983291626,25967,18,10761,19,10754,20,BFS
6.507546901702881,75323,22,23980,23,23751,24,BFS
0.6439580917358398,7338,16,4499,17,4498,18,BFS
4.444217920303345,51320,20,17289,21,17224,22,BFS
7.8724658489227295,89683,22,23973,23,21611,24,BFS
1.2626819610595703,14436,17,7775,18,7772,19,BFS
0.2875511646270752,3573,14,2132,15,2131,16,BFS
13.323086023330688,148116,25,25136,26,16634,27,BFS
0.5082130432128906,5652,15,3438,16,3437,17,BFS
9.134829044342041,104034,22,24983,23,20445,24,BFS
10.109351873397827,116682,23,25133,24,20852,25,BFS
0.22664308547973633,2733,13,1584,14,1581,15,BFS
14.583393812179565,160672,26,24048,27,12165,28,BFS
4.43588399887085,49765,20,18787,21,18765,22,BFS
3.797914981842041,43331,20,17255,21,17238,22,BFS
0.10813093185424805,1254,12,813,13,812,14,BFS
8.236485004425049,94851,22,23973,23,20506,24,BFS
1.7073462009429932,19200,18,9833,19,9832,20,BFS
0.7194709777832031,8213,16,4763,17,4762,18,BFS
0.7019989490509033,8371,15,4175,16,4174,17,BFS
0.6910440921783447,8132,16,4734,17,4732,18,BFS
1.3999810218811035,15808,17,8057,18,8055,19,BFS
3.6005678176879883,40485,20,17181,21,17175,22,BFS
7.271636962890625,81772,22,23980,23,22914,24,BFS
13.279767990112305,150873,25,25133,26,15441,27,BFS
15.166738986968994,167192,26,24049,27,8308,28,BFS
11.353808164596558,126049,24,24048,25,21080,26,BFS
11.555732011795044,120801,24,24049,25,22856,26,BFS
0.678192138671875,8072,15,4118,16,4117,17,BFS
13.022834062576294,143246,25,25133,26,18594,27,BFS
0.07822799682617188,895,11,567,12,566,13,BFS
0.01777195930480957,226,8,136,9,134,10,BFS
0.9111049175262451,10622,16,5364,17,5363,18,BFS
3.30505108833313,38474,19,14684,20,14683,21,BFS
6.794249057769775,75958,22,23973,23,23647,24,BFS
3.6693949699401855,42524,20,17275,21,17269,22,BFS
1.8680510520935059,21848,18,10214,19,10205,20,BFS
2.4923298358917236,29339,18,12047,19,12046,20,BFS
5.239109039306641,58784,21,21811,22,21788,23,BFS
3.3972458839416504,40295,19,14804,20,14773,21,BFS
10.347840070724487,115200,23,25133,24,21159,25,BFS
5.755897045135498,65840,21,21811,22,21626,23,BFS
8.306316137313843,95361,22,23980,23,20364,24,BFS
4.199010133743286,47840,20,18752,21,18740,22,BFS
5.048255920410156,57545,20,18858,21,18763,22,BFS
15.380377054214478,171698,27,25134,28,6926,29,BFS
0.20454812049865723,2426,13,1488,14,1487,15,BFS
0.44049692153930664,5209,15,3291,16,3290,17,BFS
0.6155228614807129,7302,15,3930,16,3929,17,BFS
1.3737590312957764,16379,17,8140,18,8134,19,BFS
10.308175086975098,117745,23,25134,24,20385,25,BFS
1.9839720726013184,21989,18,11246,19,11245,20,BFS
4.228439092636108,49456,20,17259,21,17219,22,BFS
10.022915124893188,110994,23,25133,24,22393,25,BFS
13.01512598991394,146064,25,25134,26,17461,27,BFS
9.494858026504517,104993,23,25134,24,23909,25,BFS
4.428088903427124,50146,20,18787,21,18771,22,BFS
11.44777798652649,126329,24,24053,25,20957,26,BFS
4.5299670696258545,52925,20,17259,21,17186,22,BFS
0.24356889724731445,2997,13,1671,14,1670,15,BFS
10.403146028518677,111368,23,25133,24,22498,25,BFS
1.3119359016418457,14182,17,7711,18,7710,19,BFS
1.7497920989990234,18084,18,9667,19,9666,20,BFS
7.595307111740112,85355,22,24983,23,24527,24,BFS
6.069383144378662,69392,21,21826,22,21427,23,BFS
10.22606086730957,114242,23,25134,24,21436,25,BFS
4.372403144836426,51562,20,17259,21,17226,22,BFS
0.0016620159149169922,17,4,18,5,17,6,BFS
12.734013080596924,140595,24,24983,25,17247,26,BFS
6.079167127609253,70280,21,21830,22,21191,23,BFS
12.184556007385254,138006,24,24053,25,16505,26,BFS
2.704174041748047,30314,19,14167,20,14160,21,BFS
4.679435968399048,52320,20,17259,21,17199,22,BFS
5.639449119567871,64154,21,21830,22,21700,23,BFS
2.5798721313476562,29124,19,14056,20,14053,21,BFS
15.71413803100586,179844,28,24049,29,1259,30,BFS
10.408836841583252,119974,23,25134,24,19639,25,BFS
0.6999640464782715,8360,15,4175,16,4174,17,BFS
0.6780519485473633,7746,16,4626,17,4623,18,BFS
6.09647011756897,67398,21,21826,22,21573,23,BFS
9.936632871627808,108271,23,25133,24,23136,25,BFS
15.384460926055908,165242,26,24049,27,9517,28,BFS
8.674776077270508,94773,22,23980,23,20555,24,BFS
0.8044319152832031,9456,16,5071,17,5069,18,BFS
13.077959060668945,145931,25,25133,26,17513,27,BFS
3.735305070877075,38346,20,17049,21,17048,22,BFS
0.8402769565582275,9250,16,5028,17,5025,18,BFS
15.023530006408691,167344,26,24048,27,8210,28,BFS
15.713721990585327,180457,29,25133,30,866,31,BFS
2.296172857284546,26539,18,11808,19,11807,20,BFS
9.728258848190308,108538,23,25136,24,23217,25,BFS
0.745048999786377,8164,16,4745,17,4743,18,BFS
3.5182461738586426,39125,20,17140,21,17139,22,BFS
1.2616009712219238,14373,17,7768,18,7767,19,BFS
12.80998182296753,144560,25,25133,26,18118,27,BFS
0.8302621841430664,9732,16,5131,17,5130,18,BFS
14.52204704284668,168862,26,24049,27,7240,28,BFS
6.131731033325195,69511,21,21826,22,21408,23,BFS
0.5864658355712891,6918,15,3787,16,3786,17,BFS
2.118190050125122,24228,18,10579,19,10572,20,BFS
15.522774934768677,175256,27,25133,28,4587,29,BFS
6.999814987182617,77343,22,23980,23,23521,24,BFS
1.5310420989990234,17614,17,8311,18,8310,19,BFS
3.5098540782928467,38119,19,14655,20,14643,21,BFS
4.103837966918945,47102,20,17289,21,17192,22,BFS
0.6438300609588623,7944,15,4096,16,4094,17,BFS
7.535091161727905,84800,22,23973,23,22374,24,BFS
13.020246982574463,142807,25,25133,26,18777,27,BFS
3.4379868507385254,40179,19,14744,20,14735,21,BFS
0.6479310989379883,7672,16,4601,17,4600,18,BFS
12.313914060592651,138976,24,24053,25,16122,26,BFS
12.325078010559082,134765,24,24048,25,17871,26,BFS
7.979421138763428,88314,22,23973,23,21891,24,BFS
13.954367876052856,158164,25,25133,26,11701,27,BFS
7.636783838272095,87470,22,24983,23,24169,24,BFS
1.4487659931182861,16761,17,8201,18,8200,19,BFS
1.4394099712371826,16974,17,8214,18,8209,19,BFS
